"Gene","MeanDecreaseAccuracy","MeanDecreaseGini"
"BEX1",1.00100150250438,0.0157135549872123
"BRD3",1.00100150250438,0.00699385342789598
"C1orf115",1.00100150250438,0.0230262984009515
"C5",1.00100150250438,0.0116234065556047
"C6orf15",1.00100150250438,0.00391489361702128
"CA4",1.00100150250438,0.0672489931821785
"CALD1",1.00100150250438,0.00366666666666667
"CAMTA2",1.00100150250438,0.00342857142857143
"CAPN5",1.00100150250438,0.00772413793103448
"CBX2",1.00100150250438,0.0307020979020979
"CCDC69",1.00100150250438,0.00390697674418605
"CCK",1.00100150250438,0.0336984126984127
"CD247",1.00100150250438,0.0110035087719298
"CDC25B",1.00100150250438,0.0348595238095238
"CDC37L1",1.00100150250438,0.0359863945578231
"CEACAM21",1.00100150250438,0.0159310344827586
"CEACAM4",1.00100150250438,0.0183050847457627
"CEL",1.00100150250438,0.0038
"CEP68",1.00100150250438,0.00724285714285713
"CILP",1.00100150250438,0.0102148159604083
"CLIP2",1.00100150250438,0.006
"COL1A2",1.00100150250438,0.0115238095238095
"COL7A1",1.00100150250438,0.0012463768115942
"CORIN",1.00100150250438,0.00693333333333333
"COX7C",1.00100150250438,0.0152830188679245
"CRIP1",1.00100150250438,0.0173140096618357
"CSNK1G3",1.00100150250438,0.00723809523809524
"CTSC",1.00100150250438,0.00685714285714286
"CTSF",1.00100150250438,0.0369000036041664
"CXCL12",1.00100150250438,0.0437964801014745
"CXCL13",1.00100150250438,0.0148148148148148
